title;short_title;id_issn;id_eissn;id_arx;id_oth;period;language;url;publisher;scope
A + U-Architecture And Urbanism;;0389-9160;;;;MON;;;;
Aaa-Arbeiten Aus Anglistik Und Amerikanistik; Arbeiten Aus Anglistik Und Amerikanistik;0171-5410;;;;SEM;;;;
Aacl Bioflux;;1844-8143;1844-9166;;;BIM;;;;
Aapg Bulletin;Am Assoc Pet Geol Bull;0149-1423;;;;MON;;;;
Aaps Journal;Aaps J;1550-7416;;;;QUA;;;Springer;
Aaps Pharmscitech;Aaps Pharmscitech;1530-9932;;;;QUA;;;Springer;
Aardkundige Mededelingen;;0250-7803;;;;IRR;;;;
Aasp Contributions Series;;0160-8843;;;;IRR;;;;
Aatcc Review;Aatcc Rev;1532-8813;;;;BIM;;;;
Abacus-A Journal Of Accounting Finance And Business Studies;;0001-3072;1467-6281;;;QUA;;;Wiley;
Abah Bioflux;Anim Biol Anim Husb;2066-7612;2067-6344;;;SEM;;;;
Abc Taxa;;1784-1291;;;;SEM;;;;
Abdominal Imaging;Abdom Imaging;0942-8925;1432-0509;;;BIM;;;Springer;
Abhandlung Naturhistorische Gesellschaft Nuernberg;;0077-6149;;;;IRR;;;;
Abhandlungen Aus Dem Mathematischen Seminar Der Universitat Hamburg;;0025-5858;;;;ANN;;;Springer;
Abhandlungen Aus Dem Westfaelischen Museum Fuer Naturkunde;;0175-3495;;;;QUA;;;;
Abhandlungen Der Delattinia;;0948-6526;;;;ANN;;;;
Abhandlungen Der Geologischen Bundesanstalt-Vienna;;0378-0864;;;;IRR;;;;
Abhandlungen Der Senckenberg Gesellschaft Fur Naturforschung;;1868-0356;;;;IRR;;;;
Abhandlungen Der Zoologisch-Botanischen Gesellschaft In Oesterreich;;0084-5639;;;;IRR;;;;
Abhandlungen Naturwissenschaftlichen Verein Zu Bremen;;0340-3718;;;;IRR;;;;
Abhandlungen Und Berichte Aus Dem Museum Heineanum;;0947-1057;;;;IRR;;;;
Abhandlungen Und Berichte Des Museums Der Natur Gotha;;0138-1857;;;;IRR;;;;
Abhandlungen Und Berichte Des Naturkundemuseums Goerlitz;;0373-7586;;;;SEM;;;;
Abhandlungen Und Berichte Fuer Naturkunde;;0945-7658;;;;ANN;;;;
Abstracts Of Papers Of The American Chemical Society;;0065-7727;;;;SEM;;;;
Abstracts Of The General Meeting Of The American Society For Microbiology;Abstr Gen Meet Am Soc Microbiol;1060-2011;;;;ANN;;;;
Abstracts Of The Interscience Conference On Antimicrobial Agents And Chemotherapy;;0733-6373;;;;ANN;;;;
Academia Nacional De Ciencias-Cordoba Argentina-Miscelanea;;0325-3406;;;;IRR;;;;
Academia-Revista Latinoamericana De Administracion;;1012-8255;;;;TRI;;;;
Academic Emergency Medicine;Acad Emerg Med;1069-6563;1553-2712;;;MON;;;Wiley;
Academic Journal Of Entomology;;1995-8994;;;;TRI;;;;
Academic Medicine;Acad Med;1040-2446;1938-808X;;;MON;;;;
Academic Pediatrics;Acad Pediatr;1876-2859;1876-2867;;;BIM;;;Elsevier;
Academic Psychiatry;Acad Psychiatry;1042-9670;1545-7230;;;BIM;;;Springer;
Academic Radiology;Acad Radiol;1076-6332;1878-4046;;;MON;;;Elsevier;
Academic Reports Tokyo Polytechnic University Faculty Of Engineering;;0387-6055;;;;ANN;;;;
Academie Royale Des Sciences D Outre-Mer Bulletin Des Seances;Bull Seances Acad R Sci Outre Mer;0001-4176;;;;QUA;;;;
Academie Royale Des Sciences D Outre-Mer Memoires Classe Des Sciences Naturelles Et Medicales;;0379-1920;;;;QUA;;;;
Academie Serbe Des Sciences Et Des Arts-Bulletin Classe Des Sciences Mathematiques Et Naturelles;;0352-5740;;;;SEM;;;;
Academy Of Management Annals;Acad Manag Ann;1941-6520;1941-6067;;;ANN;;;;
Academy Of Management Journal;Acad Manage J;0001-4273;1948-0989;;;BIM;;;;
Academy Of Management Learning & Education;;1537-260X;;;;QUA;;;;
Academy Of Management Perspectives;;1558-9080;;;;QUA;;;;
Academy Of Management Review;Acad Manage Rev;0363-7425;1930-3807;;;QUA;;;;
Acadiensis;Acadiensis;0044-5851;;;;SEM;;;;
Acari Bibliographia Acarologica;;1618-8977;;;;TRI;;;;
Acarina;;0132-8077;2221-5115;;;SEM;;;;
Acarines;;1687-4633;;;;SEM;;;;
Acarologia;;0044-586X;2107-7207;;;QUA;;;;
Accident Analysis And Prevention;Accid Anal Prev;0001-4575;1879-2057;;;MON;;;Elsevier;
Accountability In Research-Policies And Quality Assurance;Account Res;0898-9621;1545-5815;;;BIM;;;;
Accounting And Business Research;;0001-4788;2159-4260;;;BIM;;;;
Accounting And Finance;;0810-5391;1467-629X;;;QUA;;;Wiley;
Accounting Auditing & Accountability Journal; Auditing And Accountability Journal;0951-3574;;;;BIM;;;;
Accounting Horizons;;0888-7993;1558-7975;;;QUA;;;;
Accounting Organizations And Society; Organizations And Society;0361-3682;;;;BIM;;;Elsevier;
Accounting Perspectives;;1911-382X;1911-3838;;;SEM;;;Wiley;
Accounting Review;;0001-4826;;;;QUA;;;;
Accounts Of Chemical Research;Acc Chem Res;0001-4842;1520-4898;;;MON;;;;
Accreditation And Quality Assurance;;0949-1775;1432-0517;;;BIM;;;Springer;
Aci Materials Journal;;0889-325X;;;;BIM;;;;
Aci Structural Journal;;0889-3241;;;;BIM;;;;
Acm Computing Surveys;;0360-0300;1557-7341;;;QUA;;;;
Acm Journal On Computing And Cultural Heritage;;1556-4673;1556-4711;;;ANN;;;;
Acm Journal On Emerging Technologies In Computing Systems;Acm J Emerg Technol Comput Syst;1550-4832;1550-4840;;;QUA;;;;
Acm Sigcomm Computer Communication Review;;0146-4833;;;;BIM;;;;
Acm Sigplan Notices;;0362-1340;;;;MON;;;;
Acm Transactions On Accessible Computing;Acm Trans Access Comput;1936-7228;1936-7236;;;QUA;;;;
Acm Transactions On Algorithms;;1549-6325;1549-6333;;;QUA;;;;
Acm Transactions On Applied Perception;;1544-3558;1544-3965;;;QUA;;;;
Acm Transactions On Architecture And Code Optimization;;1544-3566;1544-3973;;;QUA;;;;
Acm Transactions On Asian Language Information Processing;;1530-0226;1558-3430;;;QUA;;;;
Acm Transactions On Autonomous And Adaptive Systems;;1556-4665;1556-4703;;;QUA;;;;
Acm Transactions On Computational Logic;;1529-3785;1557-945X;;;QUA;;;;
Acm Transactions On Computational Theory;;1942-3454;;;;QUA;;;;
Acm Transactions On Computer Systems;;0734-2071;1557-7333;;;QUA;;;;
Acm Transactions On Computer-Human Interaction;Acm Trans Comput Hum Interact;1073-0516;1557-7325;;;QUA;;;;
Acm Transactions On Database Systems;;0362-5915;1557-4644;;;QUA;;;;
Acm Transactions On Design Automation Of Electronic Systems;;1084-4309;1557-7309;;;QUA;;;;
Acm Transactions On Embedded Computing Systems;;1539-9087;1558-3465;;;QUA;;;;
Acm Transactions On Graphics;Acm Trans Graph;0730-0301;;;;BIM;;;;
Acm Transactions On Information And System Security;;1094-9224;1557-7406;;;QUA;;;;
Acm Transactions On Information Systems;;1046-8188;1558-2868;;;QUA;;;;
Acm Transactions On Intelligent Systems And Technology;Acm Trans Intell Syst Technol;2157-6904;2157-6912;;;QUA;;;;
Acm Transactions On Internet Technology;;1533-5399;;;;QUA;;;;
