issn;e_issn;title;short_title;period;publisher
0389-9160;;A + U-ARCHITECTURE AND URBANISM;;Monthly;A & U PUBL CO LTD, 30-8 YUSHIMA 2-CHOME BUNKYO-KU, TOKYO, JAPAN, 113
0171-5410;;AAA-ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK; ARBEITEN AUS ANGLISTIK UND AMERIKANISTIK;Semiannual;GUNTER NARR VERLAG, DISCHINGERWEG 5, TUBINGEN, GERMANY, D 72070
1844-8143;1844-9166;AACL BIOFLUX;;Bimonthly;BIOFLUX SRL, 54 CEAHLAU ST, CLUJ-NAPOCA, ROMANIA, 400488
0149-1423;;AAPG BULLETIN;AM ASSOC PET GEOL BULL;Monthly;AMER ASSOC PETROLEUM GEOLOGIST, 1444 S BOULDER AVE, PO BOX 979, TULSA, USA, OK, 74119-3604
1550-7416;;AAPS JOURNAL;AAPS J;Quarterly;SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013
1530-9932;;AAPS PHARMSCITECH;AAPS PHARMSCITECH;Quarterly;SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013
0250-7803;;AARDKUNDIGE MEDEDELINGEN;;Irregular;LEUVEN UNIV PRESS, BLIJDE-INKOMSTSTRAAT 5, LEUVEN, BELGIUM, B-3000
0160-8843;;AASP CONTRIBUTIONS SERIES;;Irregular;AMER ASSOC STRATIGRAPHIC PALYNOLOGISTS FOUNDATION, C/O VAUGHN M BRYANT, JR, PALNOLOGY LABORATORY, TEXAS A & M UNIV, COLLEGE STATION, UNITED STATES, TX, 77843-4352
1532-8813;;AATCC REVIEW;AATCC REV;Bimonthly;AMER ASSOC TEXTILE CHEMISTS COLORISTS, PO BOX 12215, RES TRIANGLE PK, USA, NC, 27709
0001-3072;1467-6281;ABACUS-A JOURNAL OF ACCOUNTING FINANCE AND BUSINESS STUDIES;;Quarterly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
2066-7612;2067-6344;ABAH BIOFLUX;ANIM BIOL ANIM HUSB;Semiannual;BIOFLUX SRL, 54 CEAHLAU ST, CLUJ-NAPOCA, ROMANIA, 400488
1784-1291;;ABC TAXA;;Semiannual;ROYAL BELGIAN INST NATURAL SCI, BELGIAN FOCAL POINT GLOBAL TAXONOMY INITIATIVE, VAUTIERSTRAAT 29, BRUSSELS, BELGIUM, B-1000
0942-8925;1432-0509;ABDOMINAL IMAGING;ABDOM IMAGING;Bimonthly;SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013
0077-6149;;ABHANDLUNG NATURHISTORISCHE GESELLSCHAFT NUERNBERG;;Irregular;NATURHISTORISCHE GESELLSCHAFT NUERNBERG E  V, LUITPOLDHAUS, GEWERBEMUSEUMSPLATZ 4, NUREMBERG, GERMANY, 00000
0025-5858;;ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG;;Annual;SPRINGER HEIDELBERG, TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121
0175-3495;;ABHANDLUNGEN AUS DEM WESTFAELISCHEN MUSEUM FUER NATURKUNDE;;Quarterly;WESTFAELISCHES MUSEUM NATURKUNDE, SENTRUPER STRASSE 285, MUENSTER, GERMANY, 48161
0948-6526;;ABHANDLUNGEN DER DELATTINIA;;Annual;EIGENVERLAG DELATTINIA, C/O ZENTRUM FUER BIODOKUMENTATION DES SAARLANDES (ZFB), AM BERGWERK 10, LANDSWEILER-REDEN, GERMANY, D-66578
