issn;e_issn;title;short_title
0160-6999;;AADE editors;AADE Ed J
0094-6354;;AANA journal;AANA J
0001-0197;;AARN news letter;AARN News Lett
0289-0909;;;Nihon Shika Hyoron
0001-3854;;Academia Peruana de Cirugia;Acad Peru Cir
0008-0810;;Academy review of the California Academy of Periodontology;Acad Rev Calif Acad Periodontol
0044-586X;;Acarologia;Acarologia
0075-4463;;Acquisitions medicales recentes;Acquis Med Recent
0001-7604;;Activitas nervosa superior;Act Nerv Super
0001-5148;;Acta allergologica;Acta Allergol
0001-5156;;Acta anaesthesiologica;Acta Anaesthesiol
0001-5164;;Acta anaesthesiologica Belgica;Acta Anaesthesiol Belg
0001-5172;1399-6576;Acta anaesthesiologica Scandinavica;Acta Anaesthesiol Scand
0515-2720;;Acta anaesthesiologica Scandinavica;Acta Anaesthesiol Scand Suppl
0001-5180;;Acta anatomica;Acta Anat
0022-7722;;Kaibogaku zasshi;Kaibogaku Zasshi
0001-527X;1734-154X;Acta biochimica Polonica;Acta Biochim
0147-1554;;Across the board;Across Board
0001-5288;;Acta biologica Academiae Scientiarum Hungaricae;Acta Biol Acad Sci Hung
0363-7425;1930-3807;Academy of management review;Acad Manage Rev
0237-6261;;Acta biochimica et biophysica Hungarica;Acta Biochim
0365-0820;;Acta biologiae experimentalis;Acta Biol Exp
0001-4273;1948-0989;Academy of Management journal;Acad Manage J
0771-5684;;Acta Belgica;Acta Belg Med Phys
0001-5334;;Shi yan sheng wu xue bao;Shi Yan Sheng Wu Xue Bao
0236-5383;;Acta biologica Hungarica;Acta
0065-1087;;Acta biologica et medica;Acta Biol Med
0001-5318;;Acta biologica et medica Germanica;Acta Biol
0001-5342;1572-8358;Acta biotheoretica;Acta Biotheor
1013-5545;1810-8296;Acta cancerologica;Acta Cancerol
0001-5385;1784-973X;Acta cardiologica;Acta Cardiol
0302-4377;;Acta chemica Scandinavica;Acta Chem Scand A
0302-4369;;Acta chemica Scandinavica;Acta Chem
0001-5431;;Acta chirurgica Academiae Scientiarum Hungaricae;Acta Chir Acad Sci Hung
0231-4614;;Acta chirurgica Hungarica;Acta Chir Hung
0373-7934;;Acta cardiologica;Acta Cardiol Suppl
0001-5458;;Acta chirurgica Belgica;Acta Chir
0001-5466;;Acta chirurgica Italica;Acta Chir Ital
0354-950X;;Acta chirurgica Iugoslavica;Acta Chir Iugosl
0001-5415;;Acta chirurgiae orthopaedicae et traumatologiae Cechoslovaca;Acta Chir Orthop Traumatol Cech
0001-5423;1805-4404;Acta chirurgiae plasticae;Acta Chir Plast
0001-5482;;Acta chirurgica Scandinavica;Acta Chir Scand
0301-1860;;Acta chirurgica Scandinavica;Acta Chir Scand Suppl
0001-5504;;Acta cientifica venezolana;Acta Cient
1784-3286;2295-3337;Acta clinica Belgica;Acta Clin Belg
0567-7386;;Acta clinica Belgica;Acta Clin Belg Suppl
0120-9906;;Acta clinica odontologica;Acta Clin Odontol
0365-110X;;Acta crystallographica;Acta Crystallogr
0567-7394;;Acta crystallographica;Acta Crystallogr A
0001-5547;1938-2650;Acta cytologica;Acta Cytol
0391-9706;;Acta embryologiae et morphologiae experimentalis;Acta Embryol Morphol Exp
0376-0189;;Acta dermatologica;Acta Dermatol Kyoto Engl Ed
0001-5555;1651-2057;Acta dermato;Acta Derm
0365-8341;;Acta dermato;Acta Derm Venereol Suppl
0065-1176;;Hifuka kiyo;Hifuka Kiyo
0001-5563;;Acta diabetologica latina;Acta Diabetol Lat
0065-1184;;Acta embryologiae experimentalis;Acta Embryol Exp
0567-7416;;Acta embryologiae et morphologiae experimentalis;Acta Embryol Morphol Exp
0001-5598;;Acta endocrinologica;Acta Endocrinol
0300-9750;;Acta endocrinologica;Acta Endocrinol Suppl
0587-2421;;Acta Europaea fertilitatis;Acta Eur
0001-5644;;Acta gastro;Acta Gastroenterol
0300-9033;;Acta gastroenterologica Latinoamericana;Acta Gastroenterol
0567-7440;;Acta genetica et statistica medica;Acta Genet Stat Med
0001-5660;;Acta geneticae medicae et gemellologiae;Acta Genet Med Gemellol
0001-5741;;Acta gerontologica;Acta Gerontol
0001-5776;;Acta ginecologica;Acta Ginecol
0001-5784;;Acta gynaecologica et obstetrica Hispano;Acta Gynaecol Obstet Hisp Lusit
0001-5792;1421-9662;Acta haematologica;Acta Haematol
0001-5806;;Nihon Ketsueki Gakkai zasshi;Nippon Ketsueki Gakkai Zasshi
0001-5814;;Acta haematologica Polonica;Acta Haematol Pol
0300-970X;;Acta hepato;Acta Hepatogastroenterol
0065-1311;;Acta historica scientiarum naturalium et medicinalium;Acta Hist Sci Nat Med
0065-1281;1618-0372;Acta histochemica;Acta Histochem
0001-589X;;Acta iberica radiologica;Acta Iber Radiol Cancerol
0001-5911;;Acta isotopica;Acta Isot
0065-1362;;Acta Leidensia;Acta Leiden
0076-597X;;Igaku kenkyu;Igaku Kenkyu
0001-5989;;Acta medica Academiae Scientiarum Hungaricae;Acta Med Acad Sci Hung
0303-8173;1563-2571;Acta medica Austriaca;Acta Med
0303-8181;;Acta medica Austriaca;Acta Med Austriaca Suppl
0254-0819;;Acute care;Acute Care
0567-7734;;Acta medica et biologica;Acta Med
0831-7445;;Perspectives;Perspectives
0001-6039;;Acta medica Italica di medicina tropicale e subtropicale e di gastroenterologia;Acta Med Ital Med Trop Subtrop Gastroenterol
0375-8338;;Acta medica Iugoslavica;Acta Med Iugosl
0065-1397;;Acta medicinae legalis et socialis;Acta Med Leg Soc
0001-6055;;Acta medica Nagasakiensia;Acta Med Nagasaki
0270-2304;;Family practice research journal;Fam Pract Res J
0257-2788;;Fetal therapy;Fetal Ther
0951-3590;1473-0766;Gynecological endocrinology;Gynecol
0736-5748;1873-474X;International journal of developmental neuroscience;Int
0893-8652;1544-8770;The Journal of the American Board of Family Practice;J Am Board Fam Pract
0393-974X;;Journal of biological regulators and homeostatic agents;J
0884-3996;;Journal of bioluminescence and chemiluminescence;J
0386-300X;;Acta medica Okayama;Acta Med
0884-0431;1523-4681;Journal of bone and mineral research;J
0001-6071;;Acta medica Philippina;Acta Med Philipp
0001-608X;;Acta medica Polona;Acta Med Pol
0870-399X;1646-0758;Acta medica portuguesa;Acta Med Port
0001-6101;;Acta medica Scandinavica;Acta Med Scand
0365-463X;;Acta medica Scandinavica;Acta Med
